title,content,rating,username,genres
Brilliant acting. Superb story based on events that happened in real life.,"Martin Scorcese's harsh and yet delicately balanced masterpiece rises above anything petty meaning that if one wishes and has the ability and means to create a Sicilian mafia movie he should do so with grandeur and put into it as much effort as possible for people remember those who take advantage of their talent and circumstances and are diligent in their undertakings. Casino is in my opinion an epic, but it's much more than that. This film speaks even to those who dislike the subject of organized crime. You have to be objective when judging this movie and those of us who criticize everything that stands out amongst the grey background of that which is mediocre are fools who envy others' accomplishments and view them as insults to their own personal uselessness. Casino is one of the best movies of the 90's. In fact, in my opinion, it's one of the best organized crime movies of all time. Its moral is that no matter how tough you think you are there's always someone you answer to and that you ultimately will, indeed, if you screw things up.",10.0,Anonymous,Crime
I never knew Sharon Stone was so talented,"What a fantastic movie, thanks to its cast, top heavy with stars and fine direction of the ""Oscar begging"" Martin Scorsese. Robert de Niro and Joe Pesci are great, as always, together. But, surprisingly, it's Sharon Stone that comes of with all the acting credit, she simply effervesces as the gold digging casino hustler. After witnessing her performance myself I couldn't agree more, and think she deserves a place above Susan Sarandon who ""stole"" the Academy Award from under Sharon's nose.  The photography is phenomenal and combined with great acting is a recipe for a classy film.  However occasional brilliant sequences, are often marred by the continuous commentary, which prevents any real, deep, emotional involvement with any of the characters.  Great stuff, just slightly flawed.9/10.",10.0,Anonymous,Crime
"Scorsese ,Deniro &Pesci deliver again",Casino has to be one of the most underrated films that Martin Scorsese directed in the nineties. The acting by the leads is good and the script is excellent. Robert Deniro gave an Oscar worthy performance and Joes Pesci is chilling yet funny again. Even Sharon Stone is good in this brilliant film,10.0,Anonymous,Crime
Very good but not without flaws,"Casino is a very good film. If you're at all interested in gangster/mafia films, or if you're at all a fan of director/co-writer Martin Scorsese, novelist/co-writer Nicholas Pileggi, or actors Robert De Niro, Joe Pesci, Sharon Stone or James Woods, then Casino is without a doubt a must-see. I'm a huge De Niro fan, and I'm a fan of Scorsese and Woods as well. I certainly enjoyed the film.But I don't think that Casino is at all a ""perfect"" film. An 8 out of 10 may seem high, but if you're familiar with my reviews, you'll know that it's not that high of a score from me--it's closer to average from me. There are plenty of flaws here, and I'm going to spend some time pointing them out, particularly since the film receives so many 10's.Casino is based on the story of Frank ""Lefty"" Rosenthal and the Stardust casino in Las Vegas. The Rosenthal character is here named Sam ""Ace"" Rothstein and is played by De Niro. The hotel became the Tangiers for the film. The mob backs Rothstein but has to set up a false front while Rothstein ""secretly"" runs the hotel, because of his gambling charges back East. He falls in love with and marries former hooker/call-girl and current Vegas hustler Ginger McKenna (Stone), who remains in love with her pimp, Lester Diamond (Woods). Meanwhile, mob strong-arm Nicky Santoro (Pesci) heads out to Vegas to protect Rothstein, but eventually ends up running his own rackets and trying to effectively take over the town. Casino is the story of the relationship and political problems that this cast of characters and a number of associates run into. It's roughly a gradual road to destruction for everyone involved.The film is unusual in many ways. The most prominent oddity is that a large chunk of it is told via alternated narration from the two main characters, Rothstein and Santoro. The aim was probably to include a lot more of Pileggi's book, in a more literal way, than would have been possible through more conventional means. It's remarkable that the narration works as well as it does, especially because a lot of it is given a rapid-fire delivery. For at least the first 15 minutes, there is barely a pause in the narrational dialogue.One of the reasons it works is because of the style that Scorsese uses to accompany it in the opening. He employs a lot of fast cuts while presenting very stylized, documentary-like footage. The opening feels as much like an entertaining behind-the-scenes look at how the typical casino works as it feels like a fictional film about gangsters.Eventually, the film evolves from almost 100% narration to almost no narration (although the narration never completely leaves the film). This happens so subtly that one hardly notices. Scorsese's directorial style likewise evolves from the fast-cut documentary approach to something more conventional.This is all well and good, but on the other hand, the gradual evolution can only happen because the film is so long--it clocks in just a couple minutes shy of 3 hours. That's a bit too long for the story being told. By at least the halfway point, it starts to feel a bit draggy. All the material is necessary to the story, but it could have been tightened up a lot more.Another unusual aspect is the score/soundtrack, which consists primarily of pop hits from a wide time span--30 years or more. While I like the songs--I've owned the CD since it came out and I listen to it often enough--and the songs can help set the mood for some scenes, they become a bit too incessant and overbearing for the story after awhile. It begins to approach the dreaded ""mix tape"" mentality, where the songs are just there because the director wanted to share some bitchin' tunes that he likes a lot. A bit of ebb and flow with the music, and music better correlated to the drama, would have worked even better.Presumably, Scorsese was shooting for something like a sensory assault, since that's what you get in Vegas. The visuals are filled with neon lights, flashy clothes (I love Rothstein's suits), flashy people and such. The soundtrack is probably meant to match. But in that case, if I were directing, I think I would have went for a combination of commissioned music that incorporated a lot of casino sounds, or that mimicked a lot of casino sounds--the cacophonous electronic symphony of various machines constantly going through their modes--with schmaltzy show tunes, ala Liza, Jerry Vale, Tom Jones, Wayne Newton, etc.That Scorsese was trying to give a Vegas-styled sensory assault is also supported by the audio-visual contrast between the Vegas scenes and the scenes in other locations, such as Kansas City. So I can understand the motivation, but I'm not sure the final result exactly worked.Of course the performances are exceptional, even if everyone is playing to type, except for maybe Woods. The plot and characters are written and performed so that the viewer can see the disasters coming way before the characters can--and that's how it should be. For example, as a viewer, you know as soon as it starts that it's a bad idea for Rothstein to kowtow to McKenna to win her hand in marriage, but Rothstein is blind in love and he ends up paying for it. Everything unfolds almost a bit predictably in this respect, and another slight flaw is that we're shown the penultimate moment of the film right at the very beginning. It tends to make it feel even more stretched out, as you keep anticipating that scene.But the slight flaws shouldn't stop anyone from seeing this film, and of course, quite a few viewers feel that there are no flaws at all.",8.0,Anonymous,Crime
Hugely underrated and very compelling film,"I don't consider Casino Scorsese's very best film(Goodfellas is my personal favourite), but it is a fantastic film and definitely one to see. It is shocking, disturbing and unflinching in places, particularly the part where a head gets squeezed in a vice, but that added to the atmosphere rather than distracted from it.Casino is brilliantly made too. I loved the setting, the cinematography and editing are outstanding and never take away from the atmosphere, and Martin Scorsese's direction is superb. The realism the film has is always absorbing, the subplots that form the story are intriguing and the characters are adeptly drawn.The story for me has seldom a dull moment, not with the subplots as intriguing as they are, how well made it is, how good the characters and acting are. The characters also are deliberately less endearing than are seen with Goodfellas, making it perhaps a more even portrayal of unorganised crime, but the decision to do that paid off. The acting is equally impressive. Robert DeNiro the great actor he is is incredibly charismatic, Joe Pesci gives his best performance in one of his more meatier roles and Sharon Stone(who has never been this good or even sexy before) is a revelation in a very demanding role.Overall, hugely compelling and underrated. 10/10 Bethany Cox",10.0,Anonymous,Crime
Narrated for the Blind,"Fueled by mob bosses, two long-time friends make it big in Las Vegas. Scorsese not only rehashes the themes he explored in ""Goodfellas,"" but is also much too long-winded about it. After the film starts with heavily narrated expository scenes, one would expect the main story to kick in, but it continues in the same vein. This must be the most heavily narrated film in history, defying the notion that film is mainly a visual medium. Adding to the busy soundtrack is a non-stop hit parade of 1970s songs. Of course there are numerous scenes showcasing Scorsese's obsession with repulsive violence. De Niro and Pesci essentially reprise their ""Goodfellas"" roles. Stone is alluring.",6.0,Anonymous,Crime
One of my favorite movies of all time,"This is one if my favorite movies ever. The three hours just fly by for me. This movie also has a special place in my life because Sharon Stone reminds me of my mom in this movie. Every single person who knows my mom and has seen this movie says that about her even my dad and it weirds us out because she is nothing like that but we love it because of that. Anyway, this movie is great. Good story telling, good camera work, great acting. I prefer it to goodfellas just because its mainly Robert being the star.",10.0,Anonymous,Crime
7-7-7-7,"Nothing you haven't seen before, Robert De Niro performs in a similar style to several he established his career playing and Joe Pesci can only play himself no matter what the role calls for. If organised crime capers are your thing, or you're a casino denizen, it's lucky 7s all round for you, although, on this occasion, it's complemented and elevated through an outstanding performance by Sharon Stone. She steals the picture as the addicted to anything femme fatale opportunist most men would aspire to tame and, if they did get that chance, they would soon discover the trophy wife from hell - Sam did, but don't let that put you off.",7.0,Anonymous,Crime
A Bloody Trip Down Memory Lane,"Wow. Can't agree with most of the reviews for this one.Love DeNiro and Scorcese and Goodfellas and Raging Bull are two of my favorites, but I found Casino hard to sit through, despite the great performances. I think Scorcese went to the DeNiro/Pesci/gangster film well once too often. I found the aging and diminutive Joe Pesci a little hard to believe as a Mafia enforcer and his ""love"" scene with Sharon Stone is unintentionally comical.Brutally violent, overly long, and with few laughs to break the monotony, I actually found myself looking at my watch halfway through. Non-stop narration is distracting and an odd choice for Scorcese.",5.0,Anonymous,Crime
How Others See Us,"Casino is my favorite movie of the last decade of the last century. Just like in Goodfellas, Martin Scorsese rivets the audience to their seats without a real hero to root for. It's the power of the characters he creates.Robert DeNiro as the gambler boss of the Tangiers casino in Las Vegas of the 70s and 80s and Joe Pesci gangster are long time boyhood pals from the mean streets of Brooklyn. Both move out to Las Vegas seeking their respective places in their related fields at the orders of the higher ups in the criminal world. But circumstance drives them apart and one of those circumstances is Sharon Stone.People descending into degradation is always a role that will get you noticed by the Academy. Sharon Stone's part as Ginger is no exception here. She's a high price call girl when we first meet her and her descent into drug addiction isn't pretty, but Scorsese keeps it very real.But the main story line involves DeNiro and Pesci. To see ourselves as others see us is one elusive goal not attained by many in this world. These two aren't an exception. Each can see how the other is screwing up and absolutely cannot see what he's doing.The key scene in the whole film is when DeNiro and Pesci meet in the desert where a lot of problems have been known to disappear. If you can get passed all the cursing which is how you would expect gangsters to talk, each is making very realistic assessments about the other one and neither is listening to a word the other is saying.This is why I love Casino so much. I've never seen that particular theme ever handled so well on the screen.",10.0,Anonymous,Crime
The Scorsese spell...,"During its first forty minutes, Martin Scorsese's ""Casino"" is pure narration, except for little spoken moments. It's a risky move, but then Marty has always been risky, and this movie may be the ultimate example to prove it. Closing in at three hours duration time, it takes its characters on a roller-coaster ride that not everyone might appreciate; from the advantages of recurrent fortune to the regular Scorsese tragedy.That's cutting it short, because there's a lot in the middle, but without telling you 'what' exactly goes on in ""Casino"", I'll tell you how you can approach it as a film.When Sam Rothstein (Robert De Niro) is put in charge of the Tangiers Casino in Las Vegas, he sees it as the perfect chance to erase the obscure past we call carry with us. However, his best friend Nicky (Joe Pesci) is not fond of legitimacy; and when he settles in Vegas to protect him, it's not long until he starts doing some business of his own.As Nicky himself puts it: ""The dollarAlways the dollar"". But if we go back, Nicky also expresses at the beginning: ""It was perfect. Sam was the perfect guy to run the casino and he had me, his best friend, and Ginger, the woman he loved"". We see Ginger (a monumental Sharon Stone) at first as Sam sees her, a light in the middle of the room (there's one scene where this translates literally in images, with Robert Richardson's cinematography-that contains a wonderful use of light-putting the rest of the room in a mild darkness, while De Niro stands in awe as Stone walks and works the room accompanied by a constant light), but she is actually the most complex character of the film.If you approach ""Casino"" as a movie to see the inside movement of the casino business and its ups and downs (a subject the film manages perfectly), you may not notice the complexity of Stone's character and her performance. But then, if you view the film as the study of the consequences of an arranged marriage and life, you might miss the best element of the film: Joe Pesci's creation of Nicky; something that's indeed better than his work in ""Goodfellas"".Ultimately, you may choose to take ""Casino"" as the story of a long-time friendship and the betrayals that come with the years because people change and want different things from life. Again, this (as the marriage thing) is a subject that the film dominates. That's how brilliant Nicholas Pilleggi's-together with Scorsese-adaptation of his own book is; it covers everything with every detail. They did the same thing with ""Goodfellas"" and it was so rich that you could get lost in the 'mafia' universe.Here, as in ""Goodfelas"" (both film share many similarities, more than anything in the ongoing decay of certain characters and images that seem obvious copies from the 1990 film and speak by themselves, about how great both movies are and that these similarities don't change that fact at all), you have to try to follow every plot line in order to witness every scene exactly as what it means in the movie.It's the only way you'll enjoy the many conversations between Sam and Nick that lie between the best of the film and, besides showing that De Niro is the best when it comes to calming someone down and/or persuading him to make another decision; but Pesci is better because his stubbornness allows him to evade discussions and therefore cause the other more trouble (also that both know each other by heart so the work together is pure pleasure), are crucial to its development.The narration comes and goes during the film, in present or past time, generating more confusion for the viewer. This is all after the first hour and a half, and if you're not hypnotized by the film's spell at that point, something must be wrong. Is the movie too long? Yes, if the spell didn't work on you; but if you're already connected with the characters and don't want to get out, it makes no difference if it lasts three or five hours.",9.0,Anonymous,Crime
A captivating and brilliant movie with an all star cast that I still cherish to this day.,"I still remember watching Casino as a 12 year old on New Year's Day back in 1997 and being captivated from start to finish. I was lucky to be watching Casino at that age considering that the film is rated R 18+ in Australia for Medium Level Violence and Medium Level Coarse Language. Thankfully my Dad was lenient as long as we were sensible as myself, my Dad and my brother sat together and watched the movie. Casino was and still is a brilliant movie. Martin Scorsese directed another top notch film. The all star cast was perfect. Robert De Niro and Martin Scorsese mark another collaboration after their success with the classics Mean Streets (1973), Taxi Driver (1976), New York, New York (1977), The King of Comedy (1983), and Cape Fear (1991). Also joining in the collaboration is Joe Pesci of whom the three actors united for Raging Bull (1980), Goodfellas (1990) and The Irishman (2019).Set in Las Vegas during the 1970's, Sam ""Ace"" Rothstein (Robert De Niro in another brilliant role) is in charge of the mafia connected Tangiers Casino to oversee its day to day operations. Sam is successful in turning the casino into a legitimate profitable venture as well as skimming some of the profits to the mafia. His legitimate lifestyle is put in jeopardy after he marries former hustler and prostitute Ginger (Sharon Stone in an Academy Award nominated performance) who turns out to be unstable and dishonest as she leads a self destructive lifestyle with alcohol and drugs as Sam continues to shower her with diamonds, fur coats, money and other expensive gifts along with access to a safety disposit box. Another huge threat in Sam's life is Chicago mafia enforcer and childhood friend Nicky Santoro (Joe Pesci in another terrific performance) whose volatile behaviour earns him a ban from every casino in Las Vegas as he forms a crew and commits various crimes including robbery and burglary as well as beating, threatening and killing people. Nicky's actions bring a lot of unwanted attention to Sam due to their lifelong friendship. Ginger continues to see her ex boyfriend Lester Diamond (James Woods) who is a pimp and con artist yet is nothing more than a loser who is always asking Ginger for money. Though Sam organises to have Lester beaten up as a warning to stay away from his wife, Lester still pops up and continues to act as a leach. Marrying Ginger and bringing Nicky to Las Vegas would turn out to be Sam's downfall.The all star cast also includes Kevin Pollak, L. Q. Jones, Dick Smithers and the late actors Don Rickles, Frank Vincent, and Alan King.Director Martin Scorsese as always does an amazing job as he brought to life a classic movie based on Nicholas Pileggi's nonfiction novel Casino: Love and Honor in Las Vegas.Casino is an extremely violent movie with several scenes that are quite unsettling and not for the faint hearted. The ""f"" is used 422 times throughout the whole movie.I loved Casino when I first saw it and to this day, it deserves a spot as one of my top 10 movies of all time. It is 178 minutes long, but is a movie that I still cherish.A well deserved 10/10.",10.0,Anonymous,Crime
